name,price,image,category
ANTHONY EDWARDS (STATEMENT EDITION) - NBA: TIMBERWOLVES,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86382_POPSports_NBA_Timberwolves_AnthonyEdwards_POP_GLAM-WEB.png?v=1752572230,POP!
ANTI-VENOM SUIT PETER PARKER - SPIDER-MAN 2,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/80327_POPGames_SM2VG_AntiVenom_POP_GLAM-WEB.png?v=1728488693,POP!
ANYA FORGER - SPY X FAMILY,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86528_SPYxFAMILY_S1_AnyaForger_POP_GLAM-WEB.png?v=1745335697,POP!
ANYA FORGER - SPY X FAMILY POP! JUMBO,33.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/88470_SPYxFAMILY_Anya_POP_JUMBO_GLAM-WEB_021c34bd-fd56-489d-9d88-070c71e6132c.png?v=1745832858,POP! JUMBO
ANYA FORGER - SPY X FAMILY POP! KEYCHAIN,5.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/87184_SPYxFAMILY_S1_AnyaForger_POCKET_POP_KEYCHAIN_GLAM-WEB.png?v=1748437076,POP! KEYCHAIN
AOI TODO (GLOW)  - JUJUTSU KAISEN,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86770_JJK_AoiTodo_POP_GLAM-WEB.png?v=1752572597,POP! PLUS
APOCALYPSE - X-MEN,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/84115_Marvel_XMen_S3_Apocalypse_POP_GLAM-WEB.png?v=1729680562,POP!
APPA WITH ARMOR - AVATAR: THE LAST AIRBENDER,18.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/72105-POP-Animation-ATLA---Appa-w-Armor_GLAM-WEB_dc446fc1-5e18-4288-9b97-34bfb482e015.png?v=1694609522,POP! SUPER
APRIL LUDGATE (PROM OUTFIT) - PARKS AND RECREATION,13.3,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/78661_P_R_S3_AprilLudgate_POP_GLAM-WEB.png?v=1727879791,POP!
APRIL LUDGATE - PARKS AND RECREATION,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/80172_ParksAndRec_AprilLudgate_POP_GLAM-3-WEB.png?v=1720013587,POP!
AQUARIUS - ZODIAC,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/88319_Zodiac_Aquarius_POP_GLAM-WEB.png?v=1748436926,POP!
AQUILOPS  - JURASSIC WORLD: REBIRTH,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86658_J5_POP5_POP_GLAM-WEB.png?v=1748878596,POP!
AQUILOPS  - JURASSIC WORLD: REBIRTH POP! KEYCHAIN,5.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86656_J5_POP7_POPKeychain_GLAM-WEB.png?v=1748878597,POP! KEYCHAIN
ARCANINE - POKÉMON,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/products/62272_Pokemon_Arcanine_POP_GLAM-WEB.png?v=1679496792,POP!
ARES - TRON: ARES,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86665a_POPDisney_TronAres_POP1_GLAM-WEB.png?v=1757952073,POP!
